Comparison,Mean_Difference,CI_Lower,CI_Upper,Raw_p_value,FDR_corrected_p,Significant_FDR
Good_SNR_WP2 vs Bad_SNR_X Position,-0.133894730336995,-0.153886039151595,-0.113903421522394,9.70025218425205e-07,1.23775217871056e-05,1
Good_SNR_WP2 vs Bad_SNR_Y Position,-0.134340761181221,-0.166289680364378,-0.102391841998064,2.22167641649885e-05,0.000168741613538841,1
Good_SNR_WP2 vs Bad_SNR_Z Position,-0.102175175526617,-0.131328553871112,-0.0730217971821215,7.27077976761081e-05,0.00040690855190664,1
Good_SNR_WP2 vs Bad_SNR_Speed,-0.083009962534552,-0.100688959769084,-0.0653309653000201,1.06921730003421e-05,9.78435851971095e-05,1
Good_SNR_WP2 vs Bad_SNR_tSNE-X,-0.0811598242723702,-0.110187853010549,-0.0521317955341917,0.000301133625356604,0.00128082168651676,1
Good_SNR_WP2 vs Bad_SNR_tSNE-Y,-0.0621629761926023,-0.0803370992788476,-0.043988853106357,8.49945836622004e-05,0.00043950957202542,1
Good_SNR_WP2 vs Bad_SNR_IR1,-0.0568973094506419,-0.11434063906778,0.00054602016649636,0.0516813277990195,0.0848944538845633,0
Good_SNR_WP2 vs Bad_SNR_IR2,-0.0119507466459574,-0.0402911274519155,0.0163896341600007,0.351914192752132,0.422032434165151,0
Good_SNR_WP2 vs Bad_SNR_WP1,-0.0100501353553825,-0.0421806170000639,0.0220803462892988,0.48358301654327,0.558923848830808,0
Good_SNR_WP2 vs Bad_SNR_WP2,-0.0113636163844502,-0.0439084615992634,0.021181228830363,0.436233624173234,0.513500096351518,0
Good_SNR_WP2 vs Bad_SNR_Shock,0.016358479726052,0.00147911754222366,0.0312378419098803,0.0354414014143695,0.0624630223822314,0
Good_SNR_WP2 vs Bad_SNR_Sound,0.016358479726052,0.00147911754222366,0.0312378419098803,0.0354414014143695,0.0624630223822314,0
Good_SNR_Shock vs Good_SNR_Sound,0,0,0,NaN,NaN,0
Good_SNR_Shock vs Bad_SNR_Dominant Freq,-0.0838578694297332,-0.101877891305559,-0.0658378475539073,1.13486290040534e-05,9.78435851971095e-05,1
Good_SNR_Shock vs Bad_SNR_X Position,-0.150253210063047,-0.163604502477011,-0.136901917649083,2.71047519353455e-08,9.60712874152801e-07,1
Good_SNR_Shock vs Bad_SNR_Y Position,-0.150699240907273,-0.178971807433402,-0.122426674381145,4.57016640372444e-06,4.70284865415515e-05,1
Good_SNR_Shock vs Bad_SNR_Z Position,-0.118533655252669,-0.143604037178355,-0.0934632733269831,1.02096136728736e-05,9.78435851971095e-05,1
Good_SNR_Shock vs Bad_SNR_Speed,-0.099368442260604,-0.108915772998619,-0.089821111522589,4.6595868931947e-08,1.35128019902646e-06,1
Good_SNR_Shock vs Bad_SNR_tSNE-X,-0.0975183039984222,-0.122442810682146,-0.0725937973146988,3.56390754058375e-05,0.000247149240314395,1
Good_SNR_Shock vs Bad_SNR_tSNE-Y,-0.0785214559186543,-0.0889571317930983,-0.0680857800442103,4.37127182632291e-07,7.33913532945794e-06,1
Good_SNR_Shock vs Bad_SNR_IR1,-0.0732557891766939,-0.128738585595995,-0.0177729927573924,0.016794456164809,0.033275972152634,1
Good_SNR_Shock vs Bad_SNR_IR2,-0.0283092263720094,-0.0524293790504063,-0.00418907369361249,0.0274835179924039,0.0503864496527404,0
Good_SNR_Shock vs Bad_SNR_WP1,-0.0264086150814345,-0.0548861927825253,0.00206896261965625,0.0644092444895263,0.0978407094864709,0
Good_SNR_Shock vs Bad_SNR_WP2,-0.0277220961105022,-0.0566663793294491,0.00122218710844471,0.0579219051267238,0.0910201366277088,0
Good_SNR_Shock vs Bad_SNR_Shock,0,0,0,NaN,NaN,0
Good_SNR_Shock vs Bad_SNR_Sound,0,0,0,NaN,NaN,0
Good_SNR_Sound vs Bad_SNR_Dominant Freq,-0.0838578694297332,-0.101877891305559,-0.0658378475539073,1.13486290040534e-05,9.78435851971095e-05,1
Good_SNR_Sound vs Bad_SNR_X Position,-0.150253210063047,-0.163604502477011,-0.136901917649083,2.71047519353455e-08,9.60712874152801e-07,1
Good_SNR_Sound vs Bad_SNR_Y Position,-0.150699240907273,-0.178971807433402,-0.122426674381145,4.57016640372444e-06,4.70284865415515e-05,1
Good_SNR_Sound vs Bad_SNR_Z Position,-0.118533655252669,-0.143604037178355,-0.0934632733269831,1.02096136728736e-05,9.78435851971095e-05,1
Good_SNR_Sound vs Bad_SNR_Speed,-0.099368442260604,-0.108915772998619,-0.089821111522589,4.6595868931947e-08,1.35128019902646e-06,1
Good_SNR_Sound vs Bad_SNR_tSNE-X,-0.0975183039984222,-0.122442810682146,-0.0725937973146988,3.56390754058375e-05,0.000247149240314395,1
Good_SNR_Sound vs Bad_SNR_tSNE-Y,-0.0785214559186543,-0.0889571317930983,-0.0680857800442103,4.37127182632291e-07,7.33913532945794e-06,1
Good_SNR_Sound vs Bad_SNR_IR1,-0.0732557891766939,-0.128738585595995,-0.0177729927573924,0.016794456164809,0.033275972152634,1
Good_SNR_Sound vs Bad_SNR_IR2,-0.0283092263720094,-0.0524293790504063,-0.00418907369361249,0.0274835179924039,0.0503864496527404,0
Good_SNR_Sound vs Bad_SNR_WP1,-0.0264086150814345,-0.0548861927825253,0.00206896261965625,0.0644092444895263,0.0978407094864709,0
Good_SNR_Sound vs Bad_SNR_WP2,-0.0277220961105022,-0.0566663793294491,0.00122218710844471,0.0579219051267238,0.0910201366277088,0
Good_SNR_Sound vs Bad_SNR_Shock,0,0,0,NaN,NaN,0
Good_SNR_Sound vs Bad_SNR_Sound,0,0,0,NaN,NaN,0
Bad_SNR_Dominant Freq vs Bad_SNR_X Position,-0.0663953406333135,-0.106619773031863,-0.0261709082347639,0.0101614521572504,0.0229893846678218,1
Bad_SNR_Dominant Freq vs Bad_SNR_Y Position,-0.0668413714775399,-0.126973965349937,-0.0067087776051433,0.0367094995706211,0.0639908763007002,0
Bad_SNR_Dominant Freq vs Bad_SNR_Z Position,-0.0346757858229358,-0.090051286601172,0.0206997149553004,0.157096326002432,0.214161230746906,0
Bad_SNR_Dominant Freq vs Bad_SNR_Speed,-0.0155105728308709,-0.0520865179467103,0.0210653722849686,0.304310611557826,0.380686608184104,0
Bad_SNR_Dominant Freq vs Bad_SNR_tSNE-X,-0.013660434568689,-0.0688236972800928,0.0415028281427148,0.529529249009171,0.6011381865976,0
